method,job_source,job_category,matched_job,matched_category,similarity_score
WMD + FastText,data scientist financial conglomerates supervision,analysis reporting banking financial services,data analyst data scientist nus office of data and intelligence,other education training,1.0346
WMD + FastText,data scientist financial conglomerates supervision,analysis reporting banking financial services,data scientist project intern trust and safetymonetization integritydata,businesssystems analysts information communication technology,1.0366
WMD + FastText,data scientist financial conglomerates supervision,analysis reporting banking financial services,data analyst,businesssystems analysts information communication technology,1.0378
WMD + FastText,data scientist financial conglomerates supervision,analysis reporting banking financial services,data analyst,engineering software information communication technology,1.038
WMD + FastText,data scientist,mathematics statistics information sciences science technology,data analyst,database development administration information communication technology,1.0356
WMD + FastText,data scientist,mathematics statistics information sciences science technology,data engineer financial services,engineering software information communication technology,1.037
WMD + FastText,data scientist,mathematics statistics information sciences science technology,data analyst,businesssystems analysts information communication technology,1.0378
WMD + FastText,data scientist,mathematics statistics information sciences science technology,data engineer,other engineering,1.0382
WMD + FastText,data annotator,database development administration information communication technology,data engineering leader,engineering software information communication technology,1.049
WMD + FastText,data annotator,database development administration information communication technology,data analyst data scientist nus office of data and intelligence,other education training,1.0547
WMD + FastText,data annotator,database development administration information communication technology,data analyst,businesssystems analysts information communication technology,1.0564
WMD + FastText,data annotator,database development administration information communication technology,research and data analyst,market research analysis marketing communications,1.0571
WMD + FastText,data scientist artificial intelligence,mathematics statistics information sciences science technology,senior data scientist analytics business platform,businesssystems analysts information communication technology,1.0282
WMD + FastText,data scientist artificial intelligence,mathematics statistics information sciences science technology,senior data engineer,mathematics statistics information sciences science technology,1.0289
WMD + FastText,data scientist artificial intelligence,mathematics statistics information sciences science technology,senior data scientist,mathematics statistics information sciences science technology,1.0312
WMD + FastText,data scientist artificial intelligence,mathematics statistics information sciences science technology,data engineer healthcare,mathematics statistics information sciences science technology,1.0317
WMD + FastText,data scientist,mathematics statistics information sciences science technology,business intelligence analyst,businesssystems analysts information communication technology,1.0321
WMD + FastText,data scientist,mathematics statistics information sciences science technology,senior data scientist,mathematics statistics information sciences science technology,1.0322
WMD + FastText,data scientist,mathematics statistics information sciences science technology,junior business analyst,analysts consulting strategy,1.0333
WMD + FastText,data scientist,mathematics statistics information sciences science technology,junior intermediate data analyst,developersprogrammers information communication technology,1.0335
WMD + FastText,supply chain data scientist,analysis reporting manufacturing transport logistics,senior data scientist,developersprogrammers information communication technology,1.0393
WMD + FastText,supply chain data scientist,analysis reporting manufacturing transport logistics,associate analystanalyst data analytics,analysis reporting accounting,1.0409
WMD + FastText,supply chain data scientist,analysis reporting manufacturing transport logistics,ai machine learning intern,product management development information communication technology,1.0417
WMD + FastText,supply chain data scientist,analysis reporting manufacturing transport logistics,data analyst,businesssystems analysts information communication technology,1.0422
WMD + FastText,data understanding specialist indonesian market,other information communication technology,data product analyst,businesssystems analysts information communication technology,1.0343
WMD + FastText,data understanding specialist indonesian market,other information communication technology,bi analyst,other marketing communications,1.0343
WMD + FastText,data understanding specialist indonesian market,other information communication technology,data analyst,engineering software information communication technology,1.0372
WMD + FastText,data understanding specialist indonesian market,other information communication technology,senior advanced artificial intelligence machine learning data scientist,mathematics statistics information sciences science technology,1.0375
WMD + FastText,junior intermediate data analyst,developersprogrammers information communication technology,junior data analyst business intelligence regional operations,businesssystems analysts information communication technology,1.0333
WMD + FastText,junior intermediate data analyst,developersprogrammers information communication technology,data scientist,mathematics statistics information sciences science technology,1.0335
WMD + FastText,junior intermediate data analyst,developersprogrammers information communication technology,junior business analyst,analysts consulting strategy,1.0358
WMD + FastText,junior intermediate data analyst,developersprogrammers information communication technology,data quality engineer,database development administration information communication technology,1.0371
WMD + FastText,data analyst,businesssystems analysts information communication technology,data engineer,businesssystems analysts information communication technology,1.0355
