title,category,lemmatization
data scientist financial conglomerates supervision,analysis reporting banking financial services,"['role', 'purpose', 'execute', 'suptech', 'data', 'analytics', 'unit', 'sda', 'project', 'development', 'deployment', 'advance', 'analytics', 'method', 'extract', 'insight', 'financial', 'institution', 'data', 'preempt', 'emerge', 'risk', 'facilitate', 'effective', 'continuous', 'supervisory', 'function', 'principal', 'accountability', 'develop', 'deploy', 'innovative', 'data', 'analytical', 'tool', 'supervisor', 'effectively', 'monitor', 'identify', 'emerge', 'issue', 'vulnerability', 'risk', 'enable', 'preemptive', 'supervisory', 'actionsinterventions', 'collaborate', 'department', 'digital', 'technology', 'sector', 'data', 'management', 'statistic', 'department', 'develop', 'data', 'analytics', 'tool', 'support', 'contribute', 'deliver', 'outcome', 'supervision', 'sector', 'suptech', 'project', 'facilitate', 'assist', 'inherent', 'risk', 'profile', 'ongoing', 'surveillance', 'activity', 'financial', 'institution', 'escalate', 'insight', 'internal', 'stakeholder', 'analysis', 'intervention', 'relevant', 'party', 'streamline', 'data', 'definition', 'collection', 'usage', 'supervisor', 'ensure', 'consistency', 'minimize', 'duplication', 'report', 'financial', 'institution', 'oversee', 'timely', 'accurate', 'backend', 'process', 'granular', 'data', 'submit', 'financial', 'institution', 'data', 'analytics', 'provide', 'ongoing', 'technical', 'support', 'supervisor', 'effective', 'data', 'analytics', 'tool', 'collaborate', 'department', 'learn', 'officer', 'enhance', 'supervisor', 'competency', 'tool', 'maintain', 'data', 'access', 'management', 'include', 'set', 'permission', 'audit', 'access', 'liaise', 'relevant', 'department', 'approve', 'authority', 'data', 'analytics', 'tool', 'bank', 'security', 'guideline', 'qualification', 'academic', 'qualification', 'master', 'bachelor', 'degree', 'professional', 'qualification', 'data', 'scienceai', 'technology', 'computer', 'science', 'account', 'economics', 'bank', 'finance', 'risk', 'management', 'equivalent', 'minimum', 'cgpa', 'class', 'upper', 'prior', 'work', 'experience', 'data', 'analytics', 'data', 'science', 'field', 'technical', 'skill', 'knowledge', 'knowledge', 'excellent', 'understand', 'statistical', 'technical', 'method', 'knowledge', 'data', 'management', 'visualisation', 'machine', 'learn', 'technicalfunctional', 'skill', 'apply', 'statistical', 'skill', 'understand', 'distribution', 'method', 'statistical', 'inference', 'program', 'skill', 'language', 'commonly', 'data', 'science', 'python', 'sql', 'compute', 'knowledge', 'advantage', 'strong', 'project', 'management', 'analytical', 'skill', 'experience', 'microsoft', 'excel', 'powerbi', 'sa', 'skilled', 'endtoend', 'data', 'science', 'workflow', 'data', 'source', 'wrangle', 'model', 'evaluation', 'deployment', 'shortlist', 'candidate', 'notify']"
data scientist,mathematics statistics information sciences science technology,"['job', 'description', 'responsibility', 'data', 'scientist', 'data', 'engineer', 'software', 'engineer', 'process', 'product', 'engineer', 'design', 'engineer', 'collaboratively', 'develop', 'data', 'science', 'solution', 'improve', 'productivity', 'operation', 'metric', 'research', 'develop', 'scalable', 'generativeai', 'solution', 'aws', 'bedrock', 'platform', 'large', 'language', 'model', 'llm', 'prompt', 'engineer', 'factoryengineering', 'usage', 'deploy', 'model', 'solution', 'devopsmlops', 'tool', 'docker', 'kubernetes', 'mlflow', 'aws', 'edge', 'ensure', 'scalability', 'reproducibility', 'collaborate', 'crossfunctional', 'team', 'integrate', 'aiml', 'algorithm', 'image', 'analytics', 'software', 'analytics', 'system', 'include', 'chatbotarcomputer', 'vision', 'develop', 'prototype', 'design', 'develop', 'deploy', 'maintain', 'analytics', 'systemssolutions', 'data', 'engineer', 'data', 'science', 'chatbot', 'ai', 'generativeai', 'computer', 'vision', 'visualizationweb', 'app', 'independently', 'deliver', 'time', 'meet', 'user', 'gather', 'user', 'requirement', 'communicate', 'requirement', 'technical', 'team', 'member', 'technical', 'solution', 'design', 'feasibility', 'study', 'plan', 'translate', 'user', 'request', 'analytics', 'solution', 'perspective', 'prepare', 'deliver', 'presentation', 'data', 'visualization', 'conclusion', 'constantly', 'learn', 'tier', 'technology', 'creatively', 'applydeliver', 'solution', 'manufacture', 'operation', 'meet', 'kpis', 'qualification', 'master', 'bachelor', 'degree', 'computer', 'science', 'data', 'science', 'computer', 'engineer', 'technology', 'relevant', 'experience', 'education', 'background', 'applicant', 'equivalent', 'combination', 'education', 'technical', 'expertise', 'train', 'experience', 'preferably', 'minimum', 'work', 'experience', 'field', 'generativeai', 'chatbot', 'skill', 'require', 'python', 'llm', 'prompt', 'engineer', 'chatbot', 'generative', 'ai', 'augment', 'reality', 'computer', 'vision', 'advantage', 'agentic', 'ai', 'multiagent', 'architecture', 'practical', 'experience', 'application', 'deep', 'learn', 'algorithm', 'sql', 'relational', 'database', 'data', 'platform', 'aws', 'redshift', 'presto', 'etl', 'ssis', 'experience', 'web', 'development', 'net', 'vbnet', 'htmlcss', 'javascript', 'nodejs', 'jquery', 'angular', 'ability', 'learn', 'productive', 'technology', 'apis', 'development', 'language', 'framework', 'experience', 'data', 'mine', 'data', 'wrangle', 'handle', 'json', 'csv', 'file', 'hand', 'experience', 'docker', 'kubernetes', 'edge', 'compute', 'aws', 'experience', 'data', 'visualization', 'method', 'spotfire', 'powerbi', 'grafana', 'ability', 'problem', 'solve', 'provide', 'complex', 'solution', 'minimal', 'supervision', 'knowledge', 'agile', 'development', 'scrum', 'application', 'lifecycle', 'management', 'excellent', 'communication', 'presentation', 'skill', 'ability', 'synthesize', 'simplify', 'explain', 'complex', 'problem', 'type', 'audience', 'include', 'executive', 'team', 'player', 'selfmotivated', 'strong', 'ownership', 'ability', 'independently', 'minimal', 'supervision', 'additional', 'western', 'digital', 'thrive', 'power', 'potential', 'diversity', 'global', 'effective', 'embrace', 'diversity', 'customer', 'community', 'fusion', 'perspective', 'outcome', 'employee', 'customer', 'commit', 'inclusive', 'environment', 'individual', 'thrive', 'sense', 'belong', 'respect', 'contribution', 'western', 'digital', 'commit', 'offer', 'opportunity', 'applicant', 'disability', 'ensure', 'candidate', 'navigate', 'career', 'website', 'hire', 'process', 'contact', 'jobsaccommodationscom', 'advise', 'accommodation', 'request', 'email', 'include', 'description', 'specific', 'accommodation', 'request', 'job', 'title', 'requisition', 'number', 'position', 'apply', 'notice', 'candidate', 'western', 'digital', 'receive', 'report', 'scam', 'payment', 'request', 'western', 'digitals', 'behalf', 'condition', 'receive', 'offer', 'employment', 'aware', 'western', 'digital', 'subsidiary', 'request', 'payment', 'condition', 'apply', 'position', 'receive', 'offer', 'employment', 'encounter', 'request', 'report', 'western', 'digitals', 'ethic', 'helpline', 'email', 'compliancecom']"
data annotator,database development administration information communication technology,"['job', 'description', 'key', 'responsibility', 'accurately', 'label', 'categorize', 'large', 'datasets', 'include', 'text', 'audio', 'image', 'review', 'correct', 'data', 'annotation', 'ensure', 'quality', 'consistency', 'closely', 'ai', 'machine', 'learn', 'team', 'projectspecific', 'guideline', 'provide', 'feedback', 'improve', 'data', 'annotation', 'process', 'meet', 'dailyweekly', 'annotation', 'target', 'maintain', 'highquality', 'standard', 'requirement', 'strong', 'attention', 'ability', 'independently', 'basic', 'computer', 'skill', 'familiarity', 'online', 'tool', 'ability', 'detail', 'instruction', 'adapt', 'change', 'project', 'prior', 'experience', 'data', 'annotation', 'field', 'require', 'english', 'language', 'capability', 'advantage', 'tool', 'english', 'additionally', 'train', 'english', 'translate']"
data scientist artificial intelligence,mathematics statistics information sciences science technology,"['join', 'dcap', 'dynamic', 'fastgrowing', 'tech', 'startup', 'back', 'khazanah', 'dana', 'impak', 'provide', 'aipowered', 'consumer', 'finance', 'platform', 'hire', 'purchase', 'business', 'offer', 'job', 'build', 'career', 'step', 'vibrant', 'environment', 'skill', 'ambition', 'recognize', 'nurture', 'reward', 'key', 'feature', 'digitalize', 'customer', 'journey', 'partner', 'specialize', 'support', 'vehicle', 'purchase', 'finance', 'commitment', 'serve', 'underbanked', 'underserved', 'population', 'culture', 'dcap', 'embrace', 'failfast', 'culture', 'encourage', 'rapid', 'test', 'scenario', 'bold', 'idea', 'innovation', 'continuous', 'learn', 'adaptation', 'view', 'failure', 'crucial', 'growth', 'improvement', 'position', 'overview', 'data', 'scientist', 'artificial', 'intelligence', 'seek', 'talented', 'data', 'scientist', 'specialize', 'artificial', 'intelligence', 'join', 'dynamic', 'team', 'role', 'blend', 'advance', 'data', 'science', 'expertise', 'ai', 'application', 'development', 'drive', 'evolution', 'aidriven', 'product', 'ideal', 'candidate', 'play', 'key', 'role', 'advance', 'mission', 'deliver', 'inclusive', 'financial', 'solution', 'key', 'responsibility', 'credit', 'risk', 'model', 'analysis', 'develop', 'refine', 'alternative', 'credit', 'score', 'model', 'machine', 'learn', 'technique', 'nontraditional', 'data', 'source', 'analyze', 'diverse', 'datasets', 'uncover', 'pattern', 'trend', 'credit', 'risk', 'underserved', 'population', 'collaborate', 'risk', 'management', 'team', 'implement', 'effective', 'credit', 'assessment', 'strategy', 'create', 'clear', 'data', 'visualization', 'report', 'communicate', 'insight', 'stakeholder', 'enhance', 'model', 'performance', 'rigorous', 'test', 'validation', 'address', 'hoc', 'data', 'analysis', 'request', 'deliver', 'timely', 'actionable', 'insight', 'ai', 'solution', 'development', 'integration', 'design', 'develop', 'ai', 'application', 'streamline', 'operational', 'workflow', 'boost', 'efficiency', 'implement', 'optimize', 'large', 'language', 'model', 'llm', 'optical', 'character', 'recognition', 'ocr', 'solution', 'optimize', 'llm', 'model', 'improve', 'performance', 'scalability', 'partner', 'software', 'engineer', 'team', 'seamlessly', 'integrate', 'ai', 'solution', 'exist', 'platform', 'deliver', 'rapid', 'prototype', 'proofofconcepts', 'address', 'timesensitive', 'ai', 'challenge', 'qualification', 'bachelor', 'master', 'degree', 'data', 'science', 'artificial', 'intelligence', 'computer', 'science', 'statistic', 'field', 'experience', 'data', 'science', 'exposure', 'credit', 'risk', 'model', 'andor', 'ai', 'application', 'development', 'advance', 'proficiency', 'python', 'sql', 'expertise', 'machine', 'learn', 'framework', 'pytorch', 'scikitlearn', 'equivalent', 'familiarity', 'cloud', 'platform', 'aws', 'containerization', 'docker', 'knowledge', 'langchain', 'langgraph', 'highly', 'desirable', 'excellent', 'communication', 'skill', 'ability', 'convey', 'complex', 'technical', 'concept', 'nontechnical', 'stakeholder', 'strong', 'analytical', 'problemsolving', 'ability', 'meticulous', 'attention', 'flexibility', 'manage', 'multiple', 'project', 'meet', 'tight', 'deadline', 'fastpaced', 'environment', 'youll', 'love', 'role', 'vcsbacked', 'startup', 'support', 'wellknown', 'investor', 'position', 'term', 'success', 'alongside', 'experience', 'leader', 'innovator', 'passionate', 'cuttingedge', 'technology', 'career', 'development', 'pioneer', 'key', 'player', 'collaborative', 'environment', 'real', 'impact', 'contribution', 'directly', 'shape', 'future', 'product', 'finance', 'industry', 'workplace', 'accessible', 'public', 'transport', 'ready', 'jumpstart', 'career', 'impact', 'finance', 'invite', 'apply', 'excite', 'journey', 'financial', 'excellence', 'worry', 'check', 'box', 'meet', 'criterion', 'eager', 'learn', 'love', 'hear']"
data scientist,mathematics statistics information sciences science technology,"['key', 'responsibility', 'data', 'exploration', 'model', 'extract', 'clean', 'preprocess', 'largescale', 'datasets', 'structure', 'unstructured', 'source', 'build', 'validate', 'tune', 'predictive', 'descriptive', 'model', 'stateoftheart', 'algorithm', 'leverage', 'statistical', 'analysis', 'machine', 'learn', 'deep', 'learn', 'solve', 'realworld', 'problem', 'collaboration', 'strategy', 'partner', 'engineer', 'team', 'integrate', 'model', 'production', 'environment', 'product', 'stakeholder', 'define', 'datadriven', 'kpis', 'success', 'metric', 'translate', 'complex', 'technical', 'finding', 'businessfriendly', 'insight', 'visualization', 'ai', 'lifecycle', 'contribution', 'contribute', 'phase', 'ai', 'lifecycle', 'problem', 'frame', 'data', 'wrangle', 'model', 'evaluation', 'deployment', 'maintain', 'improve', 'data', 'pipeline', 'workflow', 'collaboration', 'mlops', 'engineer', 'team', 'continuous', 'innovation', 'stay', 'abreast', 'latest', 'trend', 'aimldata', 'science', 'rapidly', 'prototype', 'experimental', 'approach', 'evaluate', 'performance', 'benchmark', 'promote', 'practice', 'data', 'science', 'mentor', 'junior', 'data', 'practitioner', 'applicable', 'require', 'qualification', 'bachelor', 'master', 'degree', 'computer', 'science', 'data', 'science', 'statistic', 'mathematics', 'field', 'experience', 'data', 'science', 'analytics', 'role', 'ideally', 'aifocused', 'team', 'proficiency', 'python', 'language', 'statistical', 'analysis', 'model', 'build', 'handson', 'experience', 'framework', 'scikitlearn', 'tensorflow', 'pytorch', 'strong', 'sql', 'skill', 'familiarity', 'data', 'platform', 'spark', 'hadoop', 'experience', 'data', 'visualization', 'tool', 'power', 'tableau', 'plotly', 'solid', 'understand', 'statistical', 'model', 'test', 'predictive', 'analytics', 'ability', 'simplify', 'complex', 'technical', 'concept', 'nontechnical', 'stakeholder', 'prefer', 'skill', 'experience', 'deploy', 'model', 'production', 'cloud', 'environment', 'aws', 'azure', 'gcp', 'familiarity', 'mlops', 'practice', 'tool', 'mlflow', 'kubeflow', 'dvc', 'exposure', 'nlp', 'reinforcement', 'learn', 'knowledge', 'data', 'governance', 'privacy', 'ethical', 'ai', 'practice']"
supply chain data scientist,analysis reporting manufacturing transport logistics,"['objective', 'position', 'drive', 'continuous', 'improvement', 'asia', 'pacific', 'regional', 'supply', 'chain', 'agricultural', 'solution', 'leverage', 'data', 'analytics', 'identify', 'inefficiency', 'implement', 'datadriven', 'solution', 'role', 'lead', 'digitalization', 'automation', 'effort', 'include', 'data', 'extraction', 'dashboard', 'development', 'power', 'predictive', 'analytics', 'enablement', 'main', 'task', 'advance', 'analytics', 'model', 'develop', 'predictive', 'model', 'forecast', 'inventory', 'optimization', 'lead', 'time', 'prediction', 'apply', 'machine', 'learn', 'technique', 'anomaly', 'detection', 'plan', 'data', 'analysis', 'large', 'datasets', 'solve', 'supply', 'chain', 'challenge', 'data', 'engineer', 'automation', 'manage', 'transform', 'large', 'datasets', 'erp', 'plan', 'system', 'sap', 'build', 'automate', 'data', 'pipeline', 'python', 'sql', 'tool', 'decision', 'support', 'scenario', 'plan', 'create', 'simulation', 'optimization', 'tool', 'support', 'strategic', 'plan', 'whatif', 'analysis', 'monitor', 'refine', 'model', 'ensure', 'optimal', 'performance', 'digital', 'supply', 'chain', 'project', 'lead', 'colead', 'digital', 'transformation', 'initiative', 'control', 'tower', 'predictive', 'maintenance', 'ai', 'logistics', 'collaborate', 'data', 'team', 'enhance', 'infrastructure', 'model', 'capability', 'requirement', 'bachelor', 'degree', 'data', 'science', 'computer', 'science', 'operation', 'industrial', 'engineer', 'supply', 'chain', 'field', 'minimum', 'experience', 'supply', 'chain', 'analytics', 'data', 'science', 'quantitative', 'model', 'proficient', 'python', 'strong', 'sql', 'skill', 'experience', 'cloud', 'platform', 'snowflake', 'azure', 'aws', 'machine', 'learn', 'library', 'scikitlearn', 'tensorflow', 'familiarity', 'supply', 'chain', 'plan', 'execution', 'system', 'sap', 'ibp', 'kinaxis']"
data understanding specialist indonesian market,other information communication technology,"['role', 'key', 'excite', 'journey', 'tiktok', 'pte', 'data', 'understand', 'specialist', 'indonesian', 'market', 'fulltime', 'role', 'play', 'crucial', 'drive', 'success', 'tiktoks', 'operation', 'indonesian', 'market', 'base', 'vibrant', 'city', 'kuala', 'lumpur', 'malaysia', 'allow', 'heart', 'tiktoks', 'regional', 'presence', 'youll', 'develop', 'deep', 'insight', 'understand', 'data', 'tiktoks', 'performance', 'indonesian', 'market', 'analyse', 'trend', 'pattern', 'user', 'behaviour', 'uncover', 'opportunity', 'growth', 'improvement', 'collaborate', 'crossfunctionally', 'translate', 'datadriven', 'insight', 'actionable', 'strategy', 'support', 'implementation', 'monitor', 'initiative', 'aim', 'drive', 'engagement', 'user', 'acquisition', 'continuously', 'explore', 'data', 'source', 'analytical', 'technique', 'enhance', 'decisionmaking', 'process', 'communicate', 'complex', 'data', 'finding', 'stakeholder', 'clear', 'impactful', 'manner', 'strong', 'background', 'data', 'analysis', 'experience', 'communication', 'technology', 'industry', 'proficiency', 'data', 'mine', 'statistical', 'model', 'present', 'insight', 'excellent', 'communication', 'collaboration', 'skill', 'effectively', 'crossfunctional', 'team', 'familiarity', 'indonesian', 'market', 'consumer', 'behaviour', 'trend', 'ability', 'independently', 'thrive', 'fastpaced', 'dynamic', 'environment', 'passion', 'harness', 'data', 'drive', 'impact', 'offer', 'tiktok', 'create', 'supportive', 'empower', 'environment', 'enable', 'employee', 'thrive', 'offer', 'competitive', 'salary', 'comprehensive', 'health', 'wellness', 'benefit', 'opportunity', 'professional', 'development', 'career', 'growth', 'join', 'shape', 'future', 'digital', 'landscape', 'apply', 'data', 'understand', 'specialist', 'indonesian', 'market', 'tiktok', 'success', 'story']"
junior intermediate data analyst,developersprogrammers information communication technology,"['job', 'overview', 'seek', 'motivate', 'detailoriented', 'junior', 'intermediate', 'data', 'analyst', 'join', 'team', 'kuala', 'lumpur', 'city', 'centre', 'role', 'ideal', 'graduate', 'earlycareer', 'professional', 'passionate', 'data', 'drive', 'insight', 'build', 'model', 'support', 'decision', 'successful', 'candidate', 'closely', 'senior', 'team', 'member', 'crossfunctional', 'team', 'analyze', 'data', 'develop', 'predictive', 'model', 'translate', 'complex', 'data', 'actionable', 'strategy', 'key', 'responsibility', 'collect', 'clean', 'preprocess', 'structure', 'unstructured', 'data', 'source', 'perform', 'data', 'analysis', 'identify', 'trend', 'correlation', 'key', 'insight', 'support', 'objective', 'build', 'evaluate', 'predictive', 'model', 'machine', 'learn', 'technique', 'forecast', 'classification', 'task', 'collaborate', 'team', 'define', 'analytics', 'deliver', 'datadriven', 'solution', 'performance', 'monitor', 'debug', 'deploy', 'model', 'document', 'analytical', 'process', 'model', 'assumption', 'data', 'handle', 'workflow', 'contribute', 'development', 'data', 'model', 'support', 'strategy', 'stay', 'uptodate', 'practice', 'analytics', 'statistical', 'model', 'data', 'science', 'requirement', 'bachelor', 'degree', 'data', 'science', 'statistic', 'mathematics', 'computer', 'science', 'electrical', 'engineer', 'field', 'solid', 'understand', 'data', 'analysis', 'statistic', 'predictive', 'model', 'technique', 'solid', 'understand', 'program', 'fundamental', 'proficiency', 'language', 'python', 'matlab', 'exposure', 'machine', 'learn', 'method', 'linearlogistic', 'regression', 'decision', 'tree', 'cluster', 'time', 'series', 'forecast', 'strong', 'analytical', 'problemsolving', 'skill', 'creative', 'approach', 'tackle', 'technical', 'challenge', 'proficiency', 'data', 'manipulation', 'plot', 'library', 'panda', 'matplotlib', 'seaborn', 'scikitlearn', 'experience', 'version', 'control', 'git', 'basic', 'cloud', 'compute', 'aws', 'google', 'cloud', 'strong', 'communication', 'skill', 'ability', 'complex', 'analyse', 'clear', 'concise', 'manner', 'ability', 'independently', 'collaboratively', 'fastpaced', 'environment']"
data analyst,businesssystems analysts information communication technology,"['support', 'respond', 'request', 'data', 'conduct', 'data', 'analysis', 'provide', 'actionable', 'insight', 'provide', 'report', 'monitor', 'performance', 'identify', 'data', 'quality', 'issue', 'meet', 'client', 'report', 'requirement', 'duty', 'responsibility', 'design', 'build', 'dashboard', 'power', 'report', 'report', 'builder', 'internal', 'stakeholder', 'external', 'client', 'include', 'operational', 'activity', 'report', 'compliance', 'report', 'performance', 'report', 'proactively', 'perform', 'indepth', 'data', 'analysis', 'provide', 'evidencebased', 'insight', 'recommendation', 'respond', 'oneoff', 'request', 'data', 'analysis', 'internal', 'external', 'stakeholder', 'identify', 'technology', 'data', 'quality', 'issue', 'communicate', 'relevant', 'stakeholder', 'assist', 'process', 'improvement', 'area', 'meet', 'goal', 'analytics', 'insight', 'team', 'ensure', 'consistency', 'lack', 'duplication', 'team', 'report', 'framework', 'educate', 'stakeholder', 'maximise', 'effectiveness', 'report', 'assist', 'understand', 'power', 'analytical', 'approach', 'decision', 'experience', 'experience', 'data', 'analysis', 'data', 'interpretation', 'data', 'visualisation', 'experience', 'power', 'dax', 'sql', 'experience', 'microsoft', 'excel', 'program', 'language', 'python', 'educationqualifications', 'tertiary', 'qualification', 'relevant', 'field', 'statistic', 'mathematics', 'computer', 'science', 'certification', 'program', 'language', 'data', 'science', 'statistic', 'machine', 'learn', 'report', 'software', 'desirable']"
data analyst,database development administration information communication technology,"['responsibility', 'lead', 'analysis', 'function', 'contribute', 'development', 'datadriven', 'strategy', 'implement', 'share', 'innovative', 'idea', 'data', 'utilization', 'analysis', 'proactive', 'approach', 'identify', 'opportunity', 'datadriven', 'improvement', 'showcase', 'advance', 'proficiency', 'excel', 'google', 'sheet', 'formula', 'detail', 'analysis', 'model', 'utilize', 'excel', 'indepth', 'insight', 'complex', 'datasets', 'develop', 'implement', 'interactive', 'dashboard', 'effective', 'data', 'communication', 'apply', 'experience', 'knowledge', 'analyze', 'customer', 'service', 'sale', 'telemarketing', 'data', 'provide', 'actionable', 'insight', 'improve', 'performance', 'efficiency', 'implement', 'maintain', 'data', 'governance', 'practice', 'ensure', 'data', 'accuracy', 'integrity', 'collaborate', 'crossfunctional', 'team', 'streamline', 'data', 'process', 'collaborate', 'effectively', 'team', 'data', 'requirement', 'requirement', 'bachelor', 'degree', 'data', 'science', 'data', 'analysis', 'analysis', 'statistic', 'computer', 'science', 'administration', 'field', 'fresh', 'graduate', 'welcome', 'proficiency', 'excel', 'analysis', 'data', 'analysis', 'tool', 'ability', 'speak', 'mandarin', 'highly', 'prefer', 'deal', 'chinese', 'stakeholder', 'experience', 'customer', 'service', 'sale', 'telemarketing', 'analysis', 'highly', 'prefer', 'experience', 'program', 'language', 'tool', 'python', 'power', 'tableau', 'advantage', 'meet', 'qualification', 'position', 'commit', 'ensure', 'accurate', 'compliant', 'financial', 'practice', 'submit', 'resume', 'cover', 'letter', 'andrewasia', 'note', 'shortlist', 'candidate', 'contact', 'evaluation']"
